排名,球员姓名,英文名,国家,位置,所属球队,联赛,评级分数,评级等级
107,乔林顿,Joelinton,巴西,中场,纽卡斯尔联,英超,83,B
108,布鲁诺·吉马良斯,Bruno Guimarães,巴西,中场,纽卡斯尔联,英超,86,B
109,桑德罗·托纳利,Sandro Tonali,意大利,中场,纽卡斯尔联,英超,84,B
110,肖恩·朗斯塔夫,Sean Longstaff,英格兰,中场,纽卡斯尔联,英超,79,C
111,乔·威洛克,Joe Willock,英格兰,中场,纽卡斯尔联,英超,80,B
112,斯文·博特曼,Sven Botman,荷兰,后卫,纽卡斯尔联,英超,83,B
113,法比安·舍尔,Fabian Schär,瑞士,后卫,纽卡斯尔联,英超,82,B
114,基尔南·迪尤斯伯里-霍尔,Kieran Trippier,英格兰,后卫,纽卡斯尔联,英超,83,B
115,尼克·波普,Nick Pope,英格兰,守门员,纽卡斯尔联,英超,84,B
116,多米尼克·卡尔温-索斯盖特,Dominic Calvert-Lewin,英格兰,前锋,埃弗顿,英超,82,B
117,德怀特·麦克尼尔,Dwight McNeil,英格兰,中场,埃弗顿,英超,80,B
118,阿马杜·奥纳纳,Amadou Onana,比利时,中场,埃弗顿,英超,81,B
119,贾拉德·布兰斯韦特,Jarrad Branthwaite,英格兰,后卫,埃弗顿,英超,82,B
120,乔丹·皮克福德,Jordan Pickford,英格兰,守门员,埃弗顿,英超,85,B
121,爱德华多·卡马文加,Eduardo Camavinga,法国,中场,皇家马德里,西甲,86,B
122,奥雷利安·乔阿梅尼,Aurélien Tchouaméni,法国,中场,皇家马德里,西甲,86,B
123,安东尼奥·吕迪格,Antonio Rüdiger,德国,后卫,皇家马德里,西甲,86,B
124,费兰·门迪,Ferland Mendy,法国,后卫,皇家马德里,西甲,83,B
125,阿尔瓦罗·莫拉塔,Álvaro Morata,西班牙,前锋,马德里竞技,西甲,84,B
126,若昂·菲利克斯,João Félix,葡萄牙,前锋,马德里竞技,西甲,85,B
127,安赫尔·科雷亚,Ángel Correa,阿根廷,前锋,马德里竞技,西甲,83,B
128,罗德里戈·德保罗,Rodrigo De Paul,阿根廷,中场,马德里竞技,西甲,84,B
129,基克·科克,Koke,西班牙,中场,马德里竞技,西甲,84,B
130,马科斯·略伦特,Marcos Llorente,西班牙,中场,马德里竞技,西甲,82,B
131,何塞·希门尼斯,José María Giménez,乌拉圭,后卫,马德里竞技,西甲,83,B
132,斯特凡·萨维奇,Stefan Savić,黑山,后卫,马德里竞技,西甲,82,B
133,扬尼克·卡拉斯科,Yannick Carrasco,比利时,中场,马德里竞技,西甲,82,B
134,若昂·坎塞洛,João Cancelo,葡萄牙,后卫,巴塞罗那,西甲,85,B
135,拉菲尼亚,Raphinha,巴西,前锋,巴塞罗那,西甲,86,B
136,费兰·托雷斯,Ferran Torres,西班牙,前锋,巴塞罗那,西甲,83,B
137,安德烈亚斯·克里斯滕森,Andreas Christensen,丹麦,后卫,巴塞罗那,西甲,84,B
138,马科斯·阿隆索,Marcos Alonso,西班牙,后卫,巴塞罗那,西甲,80,B
139,塞尔希·罗伯托,Sergi Roberto,西班牙,中场,巴塞罗那,西甲,78,C
140,伊纳基·佩尼亚,Iñaki Peña,西班牙,守门员,巴塞罗那,西甲,78,C
141,米克尔·奥亚尔扎巴尔,Mikel Oyarzabal,西班牙,前锋,皇家社会,西甲,84,B
142,久保建英,Takefusa Kubo,日本,前锋,皇家社会,西甲,84,B
143,马丁·祖比门迪,Martín Zubimendi,西班牙,中场,皇家社会,西甲,83,B
144,罗宾·勒·诺曼德,Robin Le Normand,法国,后卫,皇家社会,西甲,81,B
145,亚历克斯·雷米罗,Álex Remiro,西班牙,守门员,皇家社会,西甲,81,B
146,优素福·恩-内斯里,Youssef En-Nesyri,摩洛哥,前锋,塞维利亚,西甲,83,B
147,卢卡斯·奥坎波斯,Lucas Ocampos,阿根廷,前锋,塞维利亚,西甲,81,B
148,伊万·拉基蒂奇,Ivan Rakitić,克罗地亚,中场,塞维利亚,西甲,82,B
149,马科斯·阿库尼亚,Marcos Acuña,阿根廷,后卫,塞维利亚,西甲,81,B
150,贡萨洛·蒙铁尔,Gonzalo Montiel,阿根廷,后卫,塞维利亚,西甲,79,C
151,纳比尔·费基尔,Nabil Fekir,法国,中场,皇家贝蒂斯,西甲,82,B
152,威廉·若泽,Willian José,巴西,前锋,皇家贝蒂斯,西甲,80,B
153,塞尔吉奥·卡纳莱斯,Sergio Canales,西班牙,中场,皇家贝蒂斯,西甲,81,B
154,贝莱林,Héctor Bellerín,西班牙,后卫,皇家贝蒂斯,西甲,78,C
155,亚历山大·索尔洛特,Alexander Sørloth,挪威,前锋,比利亚雷亚尔,西甲,83,B
156,胡安·弗伊斯,Juan Foyth,阿根廷,后卫,比利亚雷亚尔,西甲,82,B
157,雨果·杜罗,Hugo Duro,西班牙,前锋,瓦伦西亚,西甲,80,B
158,雅乌梅·多梅内克,Jaume Domènech,西班牙,守门员,瓦伦西亚,西甲,80,B
159,埃丁·哲科,Edin Džeko,波黑,前锋,罗马,意甲,85,B
160,洛伦佐·佩莱格里尼,Lorenzo Pellegrini,意大利,中场,罗马,意甲,84,B
161,尼科洛·扎尼奥洛,Nicolò Zaniolo,意大利,中场,罗马,意甲,82,B
162,布莱尔·克里斯坦特,Bryan Cristante,瑞士,中场,罗马,意甲,81,B
163,吉安卢卡·曼奇尼,Gianluca Mancini,意大利,后卫,罗马,意甲,82,B
164,克里斯·斯莫林,Chris Smalling,英格兰,后卫,罗马,意甲,82,B
165,莱昂纳多·斯皮纳佐拉,Leonardo Spinazzola,意大利,后卫,罗马,意甲,81,B
166,扬·贝洛蒂,Andrea Belotti,意大利,前锋,罗马,意甲,81,B
167,路易斯·阿尔贝托,Luis Alberto,西班牙,中场,拉齐奥,意甲,84,B
168,马蒂亚·扎卡尼,Mattia Zaccagni,意大利,中场,拉齐奥,意甲,81,B
169,佩德罗,Pedro,西班牙,前锋,拉齐奥,意甲,82,B
170,达尼洛·卡塔尔迪,Danilo Cataldi,意大利,中场,拉齐奥,意甲,79,C
171,斯坦尼斯拉夫·洛博特卡,Stanislav Lobotka,斯洛伐克,中场,那不勒斯,意甲,85,B
172,阿米尔·拉赫马尼,Amir Rrahmani,科索沃,后卫,那不勒斯,意甲,82,B
173,乔瓦尼·迪洛伦佐,Giovanni Di Lorenzo,意大利,后卫,那不勒斯,意甲,81,B
174,阿莱士·梅雷特,Alex Meret,意大利,守门员,那不勒斯,意甲,83,B
175,乔瓦尼·西蒙尼,Giovanni Simeone,阿根廷,前锋,那不勒斯,意甲,82,B
176,马里奥·鲁伊,Mário Rui,葡萄牙,后卫,那不勒斯,意甲,80,B
177,丘亚布·拉尔森,Chua Bulaarsson,瑞典,中场,AC米兰,意甲,82,B
178,鲁本·洛夫图斯-奇克,Ruben Loftus-Cheek,英格兰,中场,AC米兰,意甲,80,B
179,塞缪尔·楚克维泽,Samuel Chukwueze,尼日利亚,前锋,AC米兰,意甲,80,B
180,诺阿·奥卡福尔,Noah Okafor,瑞士,前锋,AC米兰,意甲,79,C
181,马利克·蒂奥,Malick Thiaw,德国,后卫,AC米兰,意甲,80,B
182,扬·卡洛·西米奇,Yan Carlo Simic,克罗地亚,后卫,AC米兰,意甲,78,C
183,约书亚·基米希,Joshua Kimmich,德国,中场,拜仁慕尼黑,德甲,90,A
184,勒鲁瓦·萨内,Leroy Sané,德国,前锋,拜仁慕尼黑,德甲,88,A
185,塞尔日·格纳布里,Serge Gnabry,德国,前锋,拜仁慕尼黑,德甲,86,B
186,托马斯·穆勒,Thomas Müller,德国,前锋,拜仁慕尼黑,德甲,87,A
187,马蒂斯·德里赫特,Matthijs de Ligt,荷兰,后卫,拜仁慕尼黑,德甲,86,B
188,达约·于帕梅卡诺,Dayot Upamecano,法国,后卫,拜仁慕尼黑,德甲,84,B
189,阿方索·戴维斯,Alphonso Davies,加拿大,后卫,拜仁慕尼黑,德甲,87,A
190,冈萨洛·拉莫斯,Gonçalo Ramos,葡萄牙,前锋,巴黎圣日耳曼,法甲,86,B
191,沃伦·扎伊尔-埃梅里,Warren Zaïre-Emery,法国,中场,巴黎圣日耳曼,法甲,85,B
192,曼努埃尔·乌加特,Manuel Ugarte,乌拉圭,中场,巴黎圣日耳曼,法甲,83,B
193,卢卡斯·埃尔南德斯,Lucas Hernández,法国,后卫,巴黎圣日耳曼,法甲,84,B
194,普雷内尔·金彭贝,Presnel Kimpembe,法国,后卫,巴黎圣日耳曼,法甲,82,B
195,卡洛斯·索莱尔,Carlos Soler,西班牙,中场,巴黎圣日耳曼,法甲,82,B
196,马尔科·阿森西奥,Marco Asensio,西班牙,前锋,巴黎圣日耳曼,法甲,85,B
197,马尔基尼奥斯,Marquinhos,巴西,后卫,巴黎圣日耳曼,法甲,85,B
198,穆萨·登贝莱,Moussa Dembélé,法国,前锋,里昂,法甲,82,B
199,优素福·福法纳,Yusuf Fofana,法国,中场,摩纳哥,法甲,83,B
200,亚历山大·戈洛文,Alexander Golovin,俄罗斯,中场,摩纳哥,法甲,84,B
